,tpEurope_cluster1,tpEurope_cluster2,tpEurope_cluster3,tpEurope_cluster4,tpEurope_cluster5
1996-12-30,-3.618746373694014e-05,4.745094253910373e-05,0.00015782685636339682,-1.5568650886522344e-05,-0.0003069393340103574
1996-12-31,-7.396012335679451e-05,0.00018462341800787546,4.134207229248464e-05,-1.1097550091717746e-05,-0.0002973685726151256
1997-01-01,-6.28733365144267e-05,8.41400016962641e-05,8.905466517853006e-07,-1.6183665188035243e-05,-0.00026568453325488136
1997-01-02,-7.057579650695273e-05,0.0004216584856781369,-4.9022016936837755e-05,-1.0230580716942683e-07,-0.00019112747198361793
1997-01-03,-6.452925709577919e-05,0.00018560595845927916,7.370536440859825e-05,-1.1875704200752932e-05,-0.0002565366095503672
1997-01-04,-2.302335198276178e-05,6.257085312243816e-05,0.0001443140189112559,-3.7935132840872175e-05,-0.0002585165086675326
1997-01-05,-5.4623983018885085e-05,0.00012904693053944605,-2.4902773708066402e-05,-1.8807410702673996e-05,-0.00029778461024741737
1997-01-06,-7.81090400087791e-05,2.8976659779627005e-05,1.2635182481407414e-05,-3.1750024587990395e-06,-0.00030890916514111336
1997-01-07,-7.571406591971225e-05,0.0005555819032068975,0.00021431376931029035,-5.812393146257242e-06,-0.00029025696683436313
1997-01-08,-5.019489483630111e-05,0.0003381871241967072,-9.47463698590529e-06,1.2053322048433014e-05,-0.00029905267840543633
1997-01-09,-6.765348108188704e-05,6.712908267539709e-05,0.00018487891771323413,1.9989223790221727e-05,-0.000264365184407553
1997-01-10,-7.528689057310941e-05,-8.36559616088059e-05,0.00021794610841878803,-2.1435835175717684e-05,4.243411168400704e-06
1997-01-11,-7.007864124292363e-05,-0.00016420499848884853,0.0002472978346599495,-3.246399119085482e-05,0.00018906588495187988
1997-01-12,-1.2998940782807807e-05,-0.00017913923025307128,0.00011603102277452578,2.1359986098716595e-05,0.00014838201730174358
1997-01-13,-3.220903259180566e-05,-0.00018317464641839264,-9.318668972974758e-05,4.207538582942502e-05,-3.1786420559665344e-05
1997-01-14,-6.954627764725924e-05,-0.00016693123326437393,-0.0001342257651270983,7.33073546716615e-05,-9.17622297156182e-05
1997-01-15,-7.254235530591567e-05,-0.00010235714808841197,-0.0001341191190750655,6.484109291805077e-05,-0.00014322909488226029
1997-01-16,-8.512602722222751e-05,0.0002796547040588383,-0.00013343370922619608,-9.765040205030466e-06,0.00020704137182332068
1997-01-17,-6.522159916954816e-05,0.00010267319397522387,-0.00011214366290686344,3.7994965976298876e-06,-6.404425162112607e-05
1997-01-18,-5.285086006845109e-05,0.0003224044688294182,-8.968508322626174e-05,-1.7549622803216135e-05,9.827874894004693e-05
1997-01-19,-6.188002962972376e-06,0.0003815348374539325,-9.894373044331653e-05,-1.0457852073175905e-05,-0.00024612559970883536
1997-01-20,-4.7699207411400994e-05,0.00020411089016773157,-4.770474129957846e-05,-2.0595990906652076e-06,-0.00024217795352908219
1997-01-21,-6.587364544848067e-05,3.3149507302216e-05,-6.003416894787001e-05,3.618265395697404e-05,-0.00017253027842867622
1997-01-22,-5.428975742696471e-05,-4.114397341130799e-05,-0.00012304859942965143,4.274666845852256e-06,-0.00011613980574745116
1997-01-23,-1.7042954572673656e-05,1.7196907885906837e-05,-0.00012314840119527265,-2.184036998873314e-05,-0.00014437420439077122
1997-01-24,-4.6690954243372323e-05,-0.00010463726424048367,-0.00011960347153112884,-1.509095765729535e-05,-7.096995090031199e-05
1997-01-25,-7.548845238127286e-05,-0.00014753677457870706,-9.329510120513811e-05,-9.767696644505832e-06,-0.0002018820701424212
1997-01-26,-7.817233884378292e-05,-0.00015151221480869532,-7.698720725210506e-05,1.4224182475221714e-06,-0.0001298678901827387
1997-01-27,-6.835056566497033e-05,-0.00015380746570728412,-0.00010631170046739347,1.4707544687389348e-06,-0.00023334785087204265
1997-01-28,-5.8910517424031474e-05,-0.00014343967847528822,-0.00010981040501152274,-3.1077675215256114e-06,-0.00029441294072436925
1997-01-29,-7.034340162781706e-05,1.4707066631849655e-05,-0.00012091703452421657,9.42038012079886e-06,-0.0002667452671056227
1997-01-30,-5.138137712069945e-05,9.03899282231852e-05,-0.00012703354339943228,2.4206518085167664e-05,-0.00022219902397389475
1997-01-31,-4.6301850571116174e-05,-8.480048027730694e-05,-0.00011384193517704344,-9.511315709548238e-08,-9.732113413088878e-05
1997-02-01,-7.058173228008991e-05,-9.743824319575634e-05,-0.00010622769430301055,-1.2145286245948641e-05,-6.983817028575978e-05
1997-02-02,-7.35523035054746e-05,-7.776339357319038e-05,-0.00011853588492794454,5.548618856292946e-06,-9.7444509272447e-05
1997-02-03,-6.783362795613619e-05,-0.00012364152534023243,-0.0001084886729179012,2.840569443057865e-05,0.000597161330697098
1997-02-04,4.094460524339851e-05,-6.727497345190331e-05,-8.967227619570024e-05,1.4719365720223448e-05,5.8312332854555354e-05
1997-02-05,4.959248060740123e-05,-0.00011410560751273267,-6.515084825512776e-05,-1.0926177754294175e-05,-5.452519274668166e-05
1997-02-06,-6.502766662128019e-05,-0.00014171711746915972,9.968349859204005e-05,8.047988942454624e-07,0.0002696043233131183
1997-02-07,-1.9455023396533103e-05,-7.313771374594223e-05,-7.845925014585383e-05,8.073738912240306e-05,-1.746129860326802e-05
1997-02-08,-5.3136798808807994e-05,-0.00012249330401250955,-0.0001276587436076298,6.56244480269814e-06,0.0002536175119347883
1997-02-09,-3.4691547320549846e-06,-0.00012724380088783698,-0.00013334003675038742,-2.0775261549972117e-05,0.00011070513974795306
1997-02-10,3.927698922673572e-05,-7.27630032295135e-06,-0.00013300836603032313,-4.061776317898168e-05,0.00042463585714849566
1997-02-11,7.197480349196716e-05,-4.9079536238717366e-05,-0.00012949610205703112,-2.639213142863594e-05,0.0001992383938637055
1997-02-12,0.00010977256112120074,-5.329847241679775e-05,-0.00010812942937217031,-2.299301839661236e-05,0.0001417340689712091
1997-02-13,0.00015728911316837294,6.857553185340988e-06,-6.275490955142963e-05,-4.03185141421288e-05,-7.633407470554839e-06
1997-02-14,6.12269427829091e-05,4.8018097285801316e-05,-4.6382706904686416e-05,-3.2118843356402855e-06,-9.543998406048004e-05
1997-02-15,-1.3107438162796351e-05,-8.982286141741519e-05,0.000152122840697883,-5.285671004439899e-06,2.1848175324624032e-05
1997-02-16,-4.813200192494783e-05,-7.995364793286047e-05,0.0001534797338713379,-2.0618177019517664e-05,0.00025887280876405534
1997-02-17,-2.297567037101471e-05,-6.60448999213047e-05,-0.00011473213897279159,-1.5017625259025038e-07,0.0008212707090272861
1997-02-18,0.00016988418490425925,-9.592791591565214e-05,-0.0001088578831789247,-2.9930064547620842e-05,0.0001819790205321238
1997-02-19,4.3087922558724086e-05,-0.00010800103303229056,-1.4068150809160266e-05,-4.001624717749261e-05,0.0008137834716823191
1997-02-20,6.378650262330694e-05,-0.00014875322126594294,-0.00012438889644819217,1.2074113371734735e-05,0.0003179399629158526
1997-02-21,7.583656539983018e-05,-0.00015314535118824348,-0.0001390453960888134,1.4617974572027851e-05,-1.2496864758546919e-05
1997-02-22,-2.2156290439902996e-05,-0.0001370786973668935,-0.0001360514144037489,3.229310577057979e-05,0.00016076664834701815
1997-02-23,-4.902863401621307e-05,-3.8137428049038764e-05,-0.00013984632694435972,1.1424247808563853e-05,0.0004710404328719637
1997-02-24,5.0535170027336174e-05,6.249792201366887e-05,-0.00012697336704560488,-6.341153249990974e-06,0.0002586741577315906
1997-02-25,0.00021831196279612313,5.440874886582263e-06,-0.00011818215802183035,-1.746484414753348e-05,0.00011218830639475906
1997-02-26,0.00012024888318128785,-7.997562431783585e-05,-8.018884880592184e-05,-3.984930909181205e-06,1.55629461692251e-05
1997-02-27,-2.453339897503832e-05,-0.00013319267988113947,0.00012442204318627672,-2.4223676463879996e-06,0.0005266225452516841
1997-02-28,-3.793352367692097e-05,-0.0001394744686770907,6.943557368469086e-06,3.9665906367676794e-05,0.00012150932630017243
1997-03-01,-2.6804513776496356e-05,-0.00012411871177580281,-0.00013225588932024704,1.1106493520429835e-05,0.0005215000301714023
1997-03-02,7.563403190617896e-06,-0.00010263561223691086,-0.00013146034380482735,-9.665099595746424e-07,8.399683919477385e-05
1997-03-03,-2.287183371866183e-05,-6.215033395257212e-05,-0.00012889241292657913,3.224278787074596e-05,-0.00014286633976424567
1997-03-04,-5.300394435646034e-05,-0.00010829938312184813,-0.00012124635777243276,-8.059320962728819e-07,-3.507729322812181e-05
1997-03-05,-5.01704279358661e-05,-0.00012151590832843424,-0.000129002144595884,-1.0123651818058253e-05,5.0765133456971005e-05
1997-03-06,-2.994138662882001e-05,-0.00013030417599768434,-9.866045802040365e-05,-7.502543665744492e-06,3.4833110698541438e-06
1997-03-07,-5.365930997687987e-05,-0.00011143393489355558,-7.379860840080042e-05,6.193130938436682e-06,0.0001652244427803384
1997-03-08,-5.259248442076684e-05,-0.00013078103478858524,-4.8643762060448424e-05,1.866461485332189e-05,-0.00014109755018472874
1997-03-09,-7.423998474160969e-05,-0.00013263171287886756,-0.00010046287409306026,2.7276557110372575e-05,-0.00020856894452789078
1997-03-10,-8.006104333442621e-05,-0.00012260139482508806,-0.00010717233411680713,1.4972593110528611e-05,-0.00017863168386595836
1997-03-11,-7.931411822779808e-05,-0.00013238577202107026,-6.030511239992857e-05,2.122687649990085e-05,-0.00020331212931517918
1997-03-12,-7.60984629846861e-05,-0.00013078166200238055,-0.00011457074293917002,1.2140268214668736e-05,-0.00013754460888651965
1997-03-13,-6.12086517296292e-05,-0.00012624118164135663,-0.00012488614005837237,7.960967737680559e-06,-1.1014870092061622e-05
1997-03-14,-2.461269195845367e-05,-0.00011443557559696728,-0.00011309636754369442,-5.497631038011201e-06,-0.00010706080924002694
1997-03-15,2.0498415218730583e-05,-0.00011979225447323416,-8.64896066840575e-05,-1.0678335755830585e-05,-0.00010831588832269444
