,msl,olr,sm1,t2m,tp,z500
1950-07-26,67.546875,-3.9198914,-0.08092907,1.7676392,-0.00013969695,415.6953
1950-07-27,-116.97656,-24.27806,-0.054934785,2.0195007,-0.00017491193,271.6797
1950-07-28,-8.203125,-5.1654816,-0.07259157,1.6877136,-0.00016747169,335.7422
1950-07-29,-339.29688,-0.33792114,-0.08686201,1.8340454,-0.00015813397,-73.22656
1950-07-30,-76.09375,-23.83934,-0.09795399,-0.6706543,-0.00019093676,-193.25
1950-07-31,-190.07812,-4.7106323,-0.107124776,0.8062134,-0.00018425794,-198.26562
1950-08-01,-169.65625,11.076538,-0.099194154,0.98217773,2.7000686e-05,-50.234375
1950-08-02,-507.40625,57.607697,0.0834243,-3.1507568,0.0025391772,-472.26562
1950-08-03,-802.53906,-20.262589,0.067738354,-4.2115784,-0.00017749416,-1533.7227
1950-08-04,-486.76562,-21.029495,0.041345686,-5.8092957,-0.0001859164,-1354.1836
1950-08-05,-389.7422,-32.724518,0.022177964,-2.7654724,-0.00019302638,-494.72656
1950-08-06,-225.79688,-26.700272,0.0058041513,-1.4799805,-0.00019879066,-102.30469
1950-08-07,-590.02344,-1.8433838,-0.0036740303,-0.26690674,-4.4562315e-05,-486.19922
1950-08-08,-519.2578,-1.1373291,-0.0054018795,-0.56851196,-0.000120113094,-487.0664
1950-08-09,-177.75,-23.106903,-0.01106739,0.48339844,-0.00019704945,61.765625
1950-08-10,20.046875,-10.9483795,-0.02015102,1.8741455,-0.00015617142,327.45312
1950-08-11,263.5,21.15863,0.013374984,0.06253052,0.00029217557,344.25
1950-08-12,262.21094,57.89177,0.07040718,-0.6713562,0.00024500582,113.59375
1950-08-13,16.039062,3.9057617,0.043863118,-0.84243774,-7.294062e-05,-158.17969
1950-08-14,-16.25,20.622269,0.044809222,-1.3635559,-2.2674023e-05,-211.38281
1950-08-15,-42.007812,2.7096863,0.0411458,-1.4606934,7.662151e-06,-320.07812
1950-08-16,-374.67188,1.9928436,0.034432262,-0.8774109,-0.00016962693,-474.08594
1950-08-17,-673.3672,53.764526,0.06359509,-2.4858093,0.0013067254,-811.7539
1950-08-18,-667.0469,4.245117,0.09532985,-3.1336365,0.00042631227,-931.97266
1950-08-19,40.523438,-14.236603,0.06662777,-2.2529602,-0.00014764356,-414.54297
1950-08-20,559.4922,-32.09198,0.04112658,-0.9211426,-0.0002345204,520.09766
1950-08-21,763.3125,-34.636154,0.022124648,1.0377502,-0.00023060777,1059.6523
1950-08-22,703.6719,-14.365814,0.011178374,2.1793213,-0.00023862792,1067.8203
1950-08-23,459.9922,-26.321808,-0.0036519766,3.2974548,-0.00023776382,1017.25
1950-08-24,182.13281,-22.895416,-0.017055184,2.6205444,-0.00023604036,788.1953
1950-08-25,135.29688,-1.7298737,-0.028256893,2.2359314,-0.0002355368,590.52344
1950-08-26,63.679688,-22.965164,-0.034455925,2.3648987,-0.0002346481,452.79688
1950-08-27,-60.84375,-28.740097,-0.037810087,1.8049011,-0.00023446896,425.4414
1950-08-28,-147.72656,-34.58194,-0.045409232,1.6731567,-0.00023454805,371.42188
1950-08-29,-35.296875,-29.771713,-0.052574635,0.82614136,-0.0002381547,256.82812
