,sstNorth_Atlantic_cluster1,sstNorth_Atlantic_cluster2,sstNorth_Atlantic_cluster3,sstNorth_Atlantic_cluster4,sstNorth_Atlantic_cluster5
1950-07-17,-0.079437256,-4.059021,0.2750244,-0.7913208,-1.3974304
1950-07-18,-0.083343506,-3.9605408,0.2659607,-0.7929077,-1.3740845
1950-07-19,-0.08151245,-3.7899475,0.2628479,-0.78756714,-1.3360901
1950-07-20,-0.07711792,-3.5387268,0.26742554,-0.7779236,-1.2846375
1950-07-21,-0.07040405,-3.2129822,0.27774048,-0.76449585,-1.223114
1950-07-22,-0.05883789,-2.8511963,0.29205322,-0.7484131,-1.1533508
1950-07-23,-0.043884277,-2.505188,0.3121338,-0.72836304,-1.0787964
1950-07-24,-0.026153564,-2.214447,0.33718872,-0.70596313,-0.9980469
1950-07-25,-0.008331299,-1.9895935,0.36654663,-0.68130493,-0.91430664
1950-07-26,0.010101318,-1.8076477,0.39916992,-0.65530396,-0.82788086
1950-07-27,0.029266357,-1.5830688,0.4345703,-0.6270752,-0.7401428
1950-07-28,0.047027588,-1.5290527,0.47088623,-0.5977783,-0.6517334
1950-07-29,0.06573486,-1.4736938,0.507843,-0.5661011,-0.56088257
1950-07-30,0.08251953,-1.4190369,0.54571533,-0.5321045,-0.47024536
1950-07-31,0.09988403,-1.3930969,0.5838623,-0.49710083,-0.37747192
1950-08-01,0.11633301,-1.676178,0.6218262,-0.46200562,-0.28585815
1950-08-02,0.13342285,-1.6469116,0.6604004,-0.4267273,-0.19537354
1950-08-03,0.15307617,-1.6201172,0.6975403,-0.3932495,-0.10620117
1950-08-04,0.17263794,-1.5866699,0.7353821,-0.36010742,-0.01965332
1950-08-05,0.19262695,-1.5497131,0.77246094,-0.33117676,0.06161499
1950-08-06,0.21276855,-1.5108337,0.80770874,-0.303833,0.13720703
1950-08-07,0.23110962,-1.4685974,0.8437195,-0.2774353,0.20309448
1950-08-08,0.24789429,-1.4275513,0.8755493,-0.25378418,0.2597351
1950-08-09,0.26306152,-1.3828125,0.90475464,-0.23120117,0.30789185
1950-08-10,0.2741394,-1.3360901,0.9305115,-0.20944214,0.34680176
1950-08-11,0.28051758,-1.2858887,0.9520569,-0.19186401,0.37509155
1950-08-12,0.28356934,-1.2389221,0.9729004,-0.17648315,0.39154053
1950-08-13,0.28570557,-1.1933899,0.98934937,-0.16656494,0.39761353
