,t2mEurope_cluster1,t2mEurope_cluster2,t2mEurope_cluster3,t2mEurope_cluster4,t2mEurope_cluster5
1961-06-19,-0.032470703,2.1218872,-0.7776184,-0.09475708,1.0521545
1961-06-20,-0.21890259,0.568573,-0.91516113,-1.6020203,0.85287476
1961-06-21,-0.40686035,-1.3357849,-0.2651062,-1.1810303,-0.23348999
1961-06-22,0.65112305,0.38607788,-0.40393066,-1.6931152,0.15164185
1961-06-23,1.0568848,2.2365417,-0.43606567,-1.8483582,-0.8272095
1961-06-24,1.5152893,0.53829956,-0.27093506,-1.5904541,-1.3929138
1961-06-25,1.899231,1.2978821,0.4506836,-2.5242004,-0.5175476
1961-06-26,1.5407715,4.576538,0.7113037,-2.7010498,0.028961182
1961-06-27,-0.69104004,6.2757874,0.63894653,-0.47958374,-0.9604492
1961-06-28,-0.38974,7.175354,0.25854492,1.6687317,-2.80484
1961-06-29,1.3094788,-2.3296814,0.5987549,-1.4293213,-0.9037781
1961-06-30,2.8975525,-2.2671204,1.0351562,-2.968933,-0.8270874
1961-07-01,3.9049072,-0.61987305,0.6560974,-4.864563,-0.9663086
1961-07-02,3.5704346,0.8095703,-0.51498413,-5.6528625,2.2319336
1961-07-03,-0.26574707,1.8926697,-0.98794556,-2.4147034,-1.1795654
1961-07-04,-0.91448975,4.646179,-0.5286255,-0.60849,-1.482605
1961-07-05,-2.1100159,5.642761,-0.027648926,1.6321106,-2.7515259
1961-07-06,-1.0741882,2.6461182,0.13131714,2.1256104,-2.106781
1961-07-07,0.25354004,-1.893219,0.32391357,1.7105408,-1.4945984
1961-07-08,0.7878418,-2.8300781,1.0790405,-1.9663086,-1.2045898
1961-07-09,0.31420898,-1.6233215,1.7250366,-3.879547,-1.3533325
1961-07-10,0.08590698,-2.3556824,0.6834717,-4.1974487,-1.084137
1961-07-11,0.55163574,-3.8524475,0.95651245,0.50305176,-0.93481445
1961-07-12,1.6881409,-3.0108032,0.41931152,0.5606384,-0.2862854
1961-07-13,-0.9864197,0.062072754,0.74713135,1.8847351,-0.36688232
1961-07-14,-1.4523621,0.85284424,0.73931885,2.1990356,1.9888306
1961-07-15,-2.0375671,-2.176239,0.68237305,1.810791,1.93573
1961-07-16,-2.4613647,0.50427246,1.3883667,2.618225,1.5889893
1961-07-17,-1.3221741,0.66000366,1.0570679,2.2124329,1.7225952
1961-07-18,-1.559845,-0.4517517,1.1204834,1.4472046,2.8391418
1961-07-19,-2.277832,-1.2666016,-0.12924194,2.0169067,1.6535339
1961-07-20,-1.3974304,-2.820282,-0.16757202,3.156311,0.63739014
1961-07-21,-1.978363,-1.6214905,0.24130249,2.7453613,0.6272278
1961-07-22,-2.680359,-2.5680542,0.32611084,0.7277527,0.12432861
1961-07-23,-2.394165,-1.8557129,0.17407227,0.6030884,0.49890137
1961-07-24,-1.3111877,-1.4451599,1.0915527,0.48236084,-0.50723267
1961-07-25,0.13156128,-3.8954468,1.0780945,-0.91134644,-1.2931519
1961-07-26,-0.26950073,-3.840973,1.1296997,-1.8933716,-2.5789185
1961-07-27,-0.7683716,-3.300293,-0.16220093,-2.049347,-1.9884644
1961-07-28,-2.5960083,0.1317749,0.69317627,-1.2154236,-1.573761
1961-07-29,-2.4743042,2.4621887,-0.04043579,-0.9263916,-0.49417114
1961-07-30,-2.533905,3.4153442,0.10635376,0.085235596,-0.013061523
1961-07-31,-0.99142456,4.818329,1.0387878,1.9813538,-0.05126953
1961-08-01,-0.5416565,2.7189026,0.21047974,5.0053406,0.9697571
1961-08-02,-1.8505859,1.4638672,-0.029510498,3.5173645,0.8748779
1961-08-03,-1.9099426,3.3666687,-0.057434082,1.883728,-0.31088257
1961-08-04,-0.30187988,2.2471619,-1.6007996,2.7277832,-1.5384521
1961-08-05,0.26431274,-1.133667,-1.4247131,0.56033325,-1.7512512
1961-08-06,-0.8629761,-1.2193298,-0.44015503,-0.3204956,-1.5916748
1961-08-07,-1.3671265,1.5245361,0.59277344,0.50909424,-0.81604004
1961-08-08,-0.6586914,3.2526855,-0.46209717,-0.5041809,-0.4045105
1961-08-09,-1.0328064,2.609497,-0.84750366,-1.340271,-0.43722534
1961-08-10,-1.5189819,1.3815308,0.27566528,-0.71707153,-0.89227295
1961-08-11,-1.9789124,3.5371704,1.1950073,-0.32131958,-0.17572021
1961-08-12,-3.1589355,4.961426,1.1269836,-0.5643921,-0.6129761
1961-08-13,-2.1315613,4.120056,1.1108398,-0.5161438,-1.2911987
1961-08-14,-1.3182983,-1.5731506,1.04422,-1.956665,-0.5857544
1961-08-15,-2.3007202,-2.7686157,1.0421753,-1.3617859,-0.5916748
1961-08-16,-2.1442566,-0.4368286,1.052948,-0.611084,-0.010070801
1961-08-17,-2.7145996,0.26593018,1.5132751,0.31079102,0.22497559
1961-08-18,-0.95217896,-1.2347412,-0.3948059,0.3085327,-0.22937012
1961-08-19,-2.2401733,-4.2125244,0.009338379,1.085968,-1.4088745
1961-08-20,-1.5704956,0.07885742,0.8369446,-1.6251526,-2.3669128
1961-08-21,-0.5132141,-2.6695251,0.89294434,-2.041748,-1.132019
1961-08-22,-0.9740906,0.29586792,0.8800659,-1.4007263,-1.1264038
