,z500Europe_cluster1,z500Europe_cluster2,z500Europe_cluster3,z500Europe_cluster4,z500Europe_cluster5
2005-05-03,252.1956759910155,-185.74918290264395,-465.1159251283318,1261.818286357564,208.2109675638973
2005-05-04,-267.7375701801468,-263.84025462619576,-736.3742516979173,843.166424890003,1246.124321912726
2005-05-05,-949.7502935749454,-258.40167466534,-2003.7925591435173,426.1180775415763,1605.5484319605316
2005-05-06,-1487.6278409601905,-218.9369616008675,-2516.9233778770754,334.1516441918533,864.7450873371835
2005-05-07,-1683.8405604279274,-427.8284565266711,-2512.106551122521,297.15667982968534,-155.42525582305754
2005-05-08,-1507.7543440454729,-492.92300600728277,-1925.0869776128645,14.619734415202966,-633.3131394956396
2005-05-09,-1201.308523559239,-274.45557929871484,-1335.6741515403978,-152.51211904777446,-951.6986103351757
2005-05-10,-1124.1606521639708,23.291431237810194,-888.6754354187889,-20.232343032118095,-680.2266419701485
2005-05-11,-1031.0117151747002,301.60977683099424,-770.081867571717,-12.179423255999255,-422.5980613213479
2005-05-12,-531.5809123401064,378.59991447303366,-100.11427394897248,-44.14407257701152,-597.0553743001552
2005-05-13,-451.5801683797372,345.967157975886,785.1949651746597,105.9623546939528,-536.444275743469
2005-05-14,-818.6256266421289,271.30308967306513,728.7783964364386,261.2590277734007,-734.6736880387058
2005-05-15,-949.4346904703407,256.4557669520037,-604.0567926692861,162.03284015152934,-678.6105084987659
2005-05-16,-293.07775887734454,372.70908769350575,-1704.3073002385486,-187.99434366511667,-350.2865430283552
2005-05-17,73.35127680783378,660.5709008033732,-1998.6844161939484,-237.4660344731254,-432.9939281882651
2005-05-18,294.46013083300176,893.5454549474823,-1706.0057835460102,114.33512777341323,-477.88018925077716
2005-05-19,202.04378165801816,626.8405710942277,-995.2345375250928,564.4373402279799,-484.22990814167184
2005-05-20,621.1973566851393,424.7362948616318,-679.0250938146567,719.4563489504136,-1290.6857415056836
2005-05-21,1149.7887524233245,356.40593382040896,-1078.4107078518844,436.96918556400584,-2161.9760253232234
2005-05-22,1400.3644678620576,413.5814951746526,-1358.6797028902815,130.5242268562272,-2274.9197670734575
2005-05-23,1934.0585741310329,510.01051262149394,-1121.3338325779016,439.03368501470123,-1275.8720404770447
2005-05-24,2014.8508497287878,353.54176558569884,-1131.6737836052107,948.0471559221969,219.30021714390742
2005-05-25,1418.1604207182963,93.59688689506844,-874.145560957113,1269.7548246336303,1141.6556704073084
2005-05-26,1133.1524278803347,41.7355347362754,-1191.108767804739,1115.881648068582,1075.871609530003
2005-05-27,574.5278442486153,132.31795891745602,-965.088107141867,819.53191973869,489.6252086690888
2005-05-28,132.81623369033423,202.36434481053786,-160.50460002903475,664.4211533533415,98.62982667064648
2005-05-29,349.0194641908768,196.93808214567983,-502.5283173654703,555.3249647478542,-80.45944733973474
2005-05-30,89.34323458623018,199.4081940643581,-202.6901653881549,627.7839051069708,470.3891481207949
2005-05-31,-422.03442439088906,-21.525532040546164,-214.5768654275174,568.1981684962117,1084.3012252123299
2005-06-01,-1294.243066264007,-306.1246363797517,-566.8050149270657,348.5602255752905,916.6112647975914
2005-06-02,-1266.601810192078,-421.8070625726702,-998.5050280770088,219.09499535545356,-39.07335815949398
2005-06-03,-800.0097675326795,-314.5896144696441,-1147.6378449908668,312.8255408683218,-963.4195065488404
2005-06-04,-415.71866940749834,-206.93274752101786,-1287.0254182854305,483.4593505468731,-294.41151064812345
2005-06-05,-413.51492787879386,-162.25658126119643,-1192.0815675465287,572.8508329241835,354.5481239048285
2005-06-06,-501.9479301934664,68.1285386248438,-652.678266681571,430.8037771295139,1236.0176207604645
2005-06-07,-184.35506778233975,327.0865005160948,759.405693717304,322.4479567675295,2619.0265177716
2005-06-08,185.88026881393625,254.38672656444092,1613.1828178119667,287.3315812139196,3073.3856115111553
2005-06-09,623.0909782819152,-29.24212899390588,733.5010236553013,-52.995404927872315,2679.130060845638
2005-06-10,162.23541722953763,-313.1271671024134,175.1171794315962,-369.49645654190033,1477.106092999115
2005-06-11,7.140265675604513,-423.51455194703277,69.30288241837852,-561.4058318025061,151.1089858494626
2005-06-12,203.07093132107698,-392.78103101947124,427.13948622554824,-701.5101235488855,-881.1651059041569
2005-06-13,445.51209919500326,-314.11318442316656,238.2200583436065,-670.3393028581269,-1486.268952343596
2005-06-14,781.9319219653021,-51.81673173629494,28.209394959885003,-228.2064861016938,-1397.846575616862
2005-06-15,1114.4911845750353,52.82120273994262,42.29571242498416,277.3754580774149,-347.1209078726752
2005-06-16,1259.0344485943997,88.54128634231252,83.86719236199986,597.466527089528,1428.9433838752939
2005-06-17,686.2966550454338,290.3844936811387,374.68648410636473,699.6396304080629,2516.825036957147
2005-06-18,-164.0383881966523,16.466700704877706,1380.1105122377915,482.7163522501401,2164.527061589107
2005-06-19,-312.4082088418155,-498.1472001304949,1263.085856803293,232.64675275364942,1407.5152259534098
2005-06-20,-263.1321547380614,-725.2396806442762,406.1185034893203,242.84163577967507,922.346227776525
2005-06-21,21.448763099168605,-801.4419078621918,-181.73198166335482,471.5452473376788,1272.2481009157032
2005-06-22,50.89858877006286,-493.3573866649545,-90.07657718686295,640.6985178985584,1719.6535225169275
2005-06-23,384.4471026382786,-85.88529601052065,31.555138511772345,687.7612387287281,1212.5158187580466
2005-06-24,600.1297843896456,102.30586847883953,79.26429616914743,499.1257579541257,474.1687059224171
2005-06-25,128.21312382200728,213.0885127405702,291.3768801068116,329.3034381058714,773.5962368284792
2005-06-26,-415.76078109264677,249.4932647066315,364.242205509538,433.3901071432621,1383.3261322906435
2005-06-27,-876.0541360071204,-13.622086456876374,209.6915949281118,365.3922234675297,1327.6904517999542
