,olrWorld_cluster1,olrWorld_cluster2,olrWorld_cluster3,olrWorld_cluster4,olrWorld_cluster5
1950-10-21,23.30658,-15.112366,-4.204315,17.389969,-3.885559
1950-10-22,35.957657,-28.033142,-4.3359833,14.811096,-4.3090515
1950-10-23,36.914474,-7.0118866,-0.93292236,18.224304,-6.3785706
1950-10-24,24.66806,9.351715,0.9649658,11.209534,-8.417358
1950-10-25,8.420532,17.573746,1.0286255,-20.080414,-7.5253296
1950-10-26,32.884033,3.283844,0.8305969,-35.40181,-3.8986206
1950-10-27,-9.698837,-1.2470856,1.3438721,27.50325,-6.083496
1950-10-28,0.52560425,-45.56212,2.4837036,70.08923,-8.911591
1950-10-29,4.2818756,-48.922363,-2.7922363,45.56865,-10.098511
1950-10-30,-9.10498,-50.027313,4.6423798,27.353668,-2.551941
1950-10-31,41.370712,-41.99225,7.0358887,4.072998,6.327484
1950-11-01,4.7141113,-41.483032,8.386108,-34.892365,-4.6694946
1950-11-02,5.752365,-45.565598,7.6565857,24.995468,-11.798035
1950-11-03,3.9936676,-47.357132,0.5289459,3.475647,-6.274231
1950-11-04,19.446518,-42.623383,2.8529053,10.517761,-2.718933
1950-11-05,23.745712,-59.96924,3.0168457,6.053711,-0.43319702
1950-11-06,20.212784,-0.003616333,1.8609924,46.505096,-6.512024
1950-11-07,3.9769135,-3.4274902,3.6885223,15.512253,-7.430084
1950-11-08,20.04155,20.512543,4.536728,-4.6880646,-11.569122
1950-11-09,8.505737,-4.5463867,5.811325,30.34462,-8.998657
1950-11-10,-7.5461884,-11.049088,4.509857,54.77884,-7.5779724
1950-11-11,-30.138962,-23.310806,3.7930908,37.80252,-4.20343
1950-11-12,-2.0296783,3.9295197,2.8972473,3.7947083,-7.174408
1950-11-13,27.037628,35.264984,0.35835266,-9.888321,-2.072235
1950-11-14,51.32306,15.515518,-0.6435852,-28.162964,-7.7736816
1950-11-15,10.447784,-6.0532074,1.3500061,10.173447,-9.985291
1950-11-16,12.206879,-64.911835,1.9816132,34.01808,-8.779968
1950-11-17,33.821564,-68.26625,1.2807007,-4.6236267,-4.29834
1950-11-18,43.542084,-27.94957,1.5090027,33.875168,-10.203033
1950-11-19,14.664322,-11.998352,0.9878235,54.054855,-11.54715
1950-11-20,20.882034,-36.547424,-1.002945,64.524704,-16.029755
1950-11-21,27.194366,-35.546204,0.06480408,54.82225,-15.10434
1950-11-22,32.69896,-10.117264,0.3339386,28.979462,-16.32492
1950-11-23,-2.4159546,-16.458801,-4.1028137,-26.40918,-14.760071
1950-11-24,-4.4138794,-12.997162,-0.1598053,10.234177,-14.04715
1950-11-25,-16.685532,-16.453705,-5.2730103,8.762573,-11.927216
1950-11-26,14.170105,-1.5827484,-4.503006,-24.78682,-13.472382
1950-11-27,18.67006,-32.1996,-1.3073273,-3.3351135,-12.5199585
1950-11-28,22.47818,-23.599045,-2.947754,-31.77214,-10.45163
1950-11-29,33.483917,-26.701782,-4.332535,-13.359436,-8.257355
1950-11-30,20.02774,25.486206,-4.595413,-17.393845,-12.619659
1950-12-01,20.39087,2.0470886,-3.4777374,-15.727783,-13.937439
1950-12-02,24.761536,-49.939056,-2.5781708,0.22065735,-12.221863
1950-12-03,36.947983,-56.331512,-4.3994904,2.743637,-14.385529
1950-12-04,28.932297,-76.11862,-1.875534,-1.7102661,-14.637848
1950-12-05,26.413177,-57.484238,-1.2315521,-9.672409,-10.859863
1950-12-06,18.228897,-52.990555,-0.051361084,6.7689056,-13.012451
1950-12-07,32.189545,-7.2098236,-1.5720978,39.353134,-8.378174
1950-12-08,19.591751,38.985474,-5.7640686,44.960938,-11.075562
1950-12-09,4.6702423,12.748474,-6.1859436,-26.699173,-8.686462
1950-12-10,41.84996,26.833527,-6.45607,-7.2159424,-1.8695679
1950-12-11,-4.9045715,-47.629715,-4.2192993,51.66481,8.349548
1950-12-12,-12.474396,-22.542282,-3.6772308,84.746185,0.15435791
1950-12-13,-3.2177734,-26.275742,-4.3707275,-17.277771,0.7940674
1950-12-14,22.14479,-14.355606,-6.8865814,-37.988266,1.2870178
1950-12-15,0.81036377,-38.606293,-7.1654053,-38.773376,-1.098053
1950-12-16,-5.859909,-3.8276672,-8.075195,-33.30548,-7.720978
1950-12-17,-29.879211,-30.152786,-14.612991,-52.654236,-8.333221
1950-12-18,-25.924545,-31.28798,-8.868164,-44.507538,-3.2063293
1950-12-19,-9.939453,23.482544,-10.866928,-56.156967,-1.8512573
1950-12-20,8.87056,-34.147766,-9.256027,-14.380951,-8.56955
1950-12-21,0.5982208,-37.574677,-7.299942,20.900757,-8.124237
1950-12-22,7.214264,-52.552353,-8.809891,25.555801,-10.835114
1950-12-23,26.360397,-58.706787,-9.620071,35.946182,-12.759033
1950-12-24,37.53708,-59.08206,-7.7804413,28.51445,-14.5086975
1950-12-25,7.2173157,-62.443436,-5.3609314,64.129,-16.200195
1950-12-26,30.005875,-57.871902,-3.50029,45.56143,-21.232605
1950-12-27,43.096725,-49.79248,-3.5047913,53.066788,-18.393219
1950-12-28,38.538635,-61.426437,-2.2678833,-8.793564,-18.14737
1950-12-29,8.428406,-63.89952,-2.5519104,-16.813202,-11.122986
1950-12-30,-36.697937,-62.699066,-1.8841248,-28.373077,-14.518097
1950-12-31,-18.081894,-49.62326,-1.5236664,1.6093597,-7.077606
1951-01-01,-10.415421,-44.40782,1.3504639,31.555557,1.7320557
1951-01-02,12.526962,-17.787811,-5.4093323,-23.534775,19.233185
1951-01-03,2.1356049,-47.68799,-7.2418213,-30.535858,3.8347168
1951-01-04,-25.26561,-64.93242,-4.463043,-29.767563,2.7453613
1951-01-05,-7.5914764,-67.81172,-5.198166,-29.455017,-0.14059448
1951-01-06,-29.05214,-69.038055,-4.1716614,16.4691,-4.454773
1951-01-07,-28.28331,-59.946335,-2.5895386,-3.5195618,-8.150024
1951-01-08,-27.47844,-52.42386,-1.4474182,-24.718445,-9.484772
1951-01-09,-11.728546,-26.717728,-2.2364044,-20.527786,-13.371246
1951-01-10,-0.119522095,-0.14360046,-5.3050537,-13.938568,-15.651123
1951-01-11,-14.2842865,12.872345,-6.0646973,2.1071625,-15.735748
1951-01-12,-0.79823303,41.381775,-5.594467,28.294296,-14.300659
1951-01-13,4.7532654,50.149826,-5.6269836,0.4495697,-12.475403
