,mslWorld_cluster1,mslWorld_cluster2,mslWorld_cluster3,mslWorld_cluster4,mslWorld_cluster5
1950-10-27,-2307.1719,170.05469,1241.9062,109.09375,-103.02344
1950-10-28,-1727.2031,334.40625,191.67188,113.47656,-28.609375
1950-10-29,-1189.5547,142.75781,-1638.7656,-1040.5938,-8.59375
1950-10-30,-1253.0625,281.15625,-1622.4297,-1483.2891,-72.28125
1950-10-31,-374.4375,521.02344,-788.0078,-523.8828,-56.53125
1950-11-01,-602.9453,911.5703,903.33594,-330.01562,22.546875
1950-11-02,-630.3672,336.16406,225.89062,1366.7031,-35.945312
1950-11-03,-489.1875,-558.90625,113.77344,2491.4922,-47.289062
1950-11-04,-640.25,-688.1953,376.5547,1294.1016,-31.109375
1950-11-05,-961.22656,-406.35938,-430.35938,484.2422,-42.234375
1950-11-06,-99.625,-83.140625,-1081.0547,-45.6875,-88.09375
1950-11-07,532.1094,289.8203,-1295.6797,869.1172,-18.625
1950-11-08,239.51562,549.85156,-1017.7656,1128.3828,-50.390625
1950-11-09,-396.2422,946.21875,91.046875,931.1172,-153.59375
1950-11-10,178.05469,256.625,396.66406,303.90625,-167.64062
1950-11-11,512.90625,-32.460938,332.76562,-1089.2578,-107.58594
1950-11-12,460.0625,-130.63281,-876.3281,-1008.16406,-60.140625
1950-11-13,866.7422,-185.75781,-1113.9688,-1201.3672,-137.65625
1950-11-14,153.41406,554.125,-417.1953,-1075.9453,-184.71094
1950-11-15,-437.3125,1122.6875,584.66406,625.96094,13.9609375
1950-11-16,-417.95312,641.75,544.5156,1686.5078,35.203125
1950-11-17,574.0547,608.66406,948.96094,1932.1484,-63.882812
1950-11-18,1376.1328,1089.1016,1407.2734,2092.2734,-98.59375
1950-11-19,1524.1562,918.60156,1679.0703,1968.8984,-54.835938
1950-11-20,879.96875,1128.75,1807.0469,622.9375,-40.195312
1950-11-21,198.20312,1969.1562,1535.0234,236.21094,-104.53906
1950-11-22,-311.33594,1654.2812,10.828125,-296.0,-241.15625
1950-11-23,-384.02344,994.03906,-217.78906,-1371.5703,-315.53125
1950-11-24,-151.76562,469.47656,-396.03125,1116.75,-284.5547
1950-11-25,312.08594,1533.3125,-139.75781,1605.1719,-273.5
1950-11-26,573.4453,525.09375,670.47656,332.78906,-198.29688
1950-11-27,598.1172,-190.67188,404.45312,-300.15625,-180.375
1950-11-28,365.34375,677.4219,-467.35938,-106.0,-155.16406
1950-11-29,194.90625,773.6953,47.59375,-221.78906,-148.71875
1950-11-30,456.0547,527.6094,823.0703,-281.01562,-61.304688
1950-12-01,1037.8125,1074.0625,907.0078,383.72656,-77.8125
1950-12-02,1605.9922,939.6094,1109.2812,673.47656,-117.65625
1950-12-03,438.27344,800.1953,924.16406,1100.8281,-121.19531
1950-12-04,-157.90625,585.28125,774.22656,1645.3906,-180.51562
1950-12-05,-615.5,478.89062,-79.484375,2325.5625,-147.46094
1950-12-06,-343.8125,789.7578,-615.0781,2015.1016,-94.125
1950-12-07,185.02344,263.51562,-613.7031,958.02344,-129.04688
1950-12-08,-737.35156,-43.6875,-205.66406,543.0547,-189.24219
1950-12-09,-1137.8906,120.203125,630.33594,1110.4219,-181.30469
1950-12-10,-825.84375,-178.34375,1082.1641,1151.9531,-181.63281
1950-12-11,-406.9297,-185.76562,905.53125,920.96094,-118.0625
1950-12-12,50.523438,-176.74219,209.47656,124.46094,-106.67969
1950-12-13,29.046875,137.5,249.01562,-630.71094,-118.125
1950-12-14,164.45312,468.08594,964.5781,-182.39844,-142.0
1950-12-15,407.8828,506.34375,983.1953,-28.203125,-101.875
1950-12-16,-11.15625,118.99219,504.78906,136.60938,-179.35156
1950-12-17,276.17188,-153.07031,944.7344,-196.4375,-157.32812
1950-12-18,125.953125,-686.84375,1523.8594,-947.6875,-97.47656
1950-12-19,22.164062,-351.73438,1508.8047,79.10156,-73.6875
1950-12-20,-473.3047,33.125,1535.4609,1740.4531,-5.4140625
1950-12-21,-77.75781,-413.39844,1648.3828,1897.4297,-11.828125
1950-12-22,-57.335938,-889.09375,1766.2656,1267.1094,-138.30469
1950-12-23,484.46875,-866.53125,1932.3125,139.36719,-237.10938
1950-12-24,545.15625,49.390625,1813.8359,-1057.1875,-168.75781
1950-12-25,350.0703,29.085938,1802.6094,-735.2578,5.5
1950-12-26,127.078125,-496.91406,2398.836,-495.25,41.8125
1950-12-27,366.89062,-99.63281,2395.664,901.0,-17.046875
1950-12-28,755.1719,-94.40625,2199.586,947.58594,-129.91406
1950-12-29,816.7031,-715.2422,2497.5156,622.9375,-191.9375
1950-12-30,665.6172,-480.76562,1772.7422,1.375,-181.0625
1950-12-31,1310.5938,-717.34375,1657.375,-1042.0391,-128.82812
1951-01-01,2191.3984,-278.17188,2078.6328,-858.41406,-99.78125
1951-01-02,2306.9844,-121.85156,1567.6406,-1171.8594,-218.78125
1951-01-03,2106.2578,-1020.875,662.5156,-744.3203,-139.46094
1951-01-04,2070.836,-1027.5469,483.90625,-773.9453,-61.328125
1951-01-05,1636.6719,-811.46875,253.91406,74.13281,30.132812
1951-01-06,1381.2578,-655.25,-83.546875,805.5625,93.59375
1951-01-07,1556.4453,-208.66406,29.234375,-829.6719,64.64844
1951-01-08,1754.9375,-190.39844,-189.14062,-968.2969,44.171875
1951-01-09,1545.2109,-477.10938,-374.9453,470.2422,138.03906
1951-01-10,399.125,-557.6953,-712.4531,424.10938,65.47656
1951-01-11,116.82031,-377.96094,74.86719,753.0,143.82812
1951-01-12,-709.22656,-547.78125,331.02344,1232.1406,224.72656
