,olrNorth_Atlantic_cluster1,olrNorth_Atlantic_cluster2,olrNorth_Atlantic_cluster3,olrNorth_Atlantic_cluster4,olrNorth_Atlantic_cluster5
1950-09-30,-30.7229,5.47348,-6.1665955,18.651154,-13.663284
1950-10-01,-34.527374,4.7284393,-10.851624,7.690399,34.17836
1950-10-02,-34.187042,8.386169,-7.002655,11.194885,-1.4178619
1950-10-03,-30.670929,9.966049,-8.68869,46.375687,7.363312
1950-10-04,-9.40744,19.274002,-4.1002197,34.551605,0.9353943
1950-10-05,-10.429291,8.454666,-8.50412,3.3738708,-21.773499
1950-10-06,-14.258881,15.504166,-8.91684,37.074554,-12.667206
1950-10-07,-17.611298,7.156967,-6.507416,90.19014,-24.911865
1950-10-08,-8.243347,19.165009,-8.387817,40.310226,-12.472794
1950-10-09,-15.96637,8.158752,-3.8261719,22.009338,13.387466
1950-10-10,-19.553253,10.114731,2.1990356,1.1585999,9.493179
1950-10-11,-6.2356567,4.863907,35.613358,-0.09857178,2.0428467
1950-10-12,31.646774,-7.2076416,9.722443,47.497574,-4.8656006
1950-10-13,16.958496,-7.6430206,6.893524,71.36241,19.75557
1950-10-14,-19.145569,9.490128,11.953339,94.842285,21.204697
1950-10-15,-27.479065,-20.586884,12.48111,53.381653,2.3005981
1950-10-16,-1.8785706,-18.580185,1.2904968,17.219635,-7.1500854
1950-10-17,-9.818329,0.6972809,-0.262146,-2.3741455,-1.1356812
1950-10-18,38.565125,-6.125946,10.336365,-8.6493225,-14.865814
1950-10-19,34.944366,4.9450684,21.221802,-7.7527466,-16.189789
1950-10-20,14.585297,10.956726,20.590118,-5.872986,-18.792252
1950-10-21,47.086258,17.733337,6.7328186,-3.9135742,-14.037125
1950-10-22,12.519455,1.5530548,12.996674,1.1288452,-0.022262573
1950-10-23,-9.990784,-1.7215729,-4.4816284,-1.4326782,7.5263977
1950-10-24,5.114502,-1.1779785,-5.797699,5.2090454,-15.811951
1950-10-25,4.4817963,7.363098,-5.714386,10.665344,-15.679733
1950-10-26,31.625473,-3.3240356,-10.572418,3.7807312,-11.528809
1950-10-27,-13.297241,-0.4406891,-6.781708,6.6845703,-11.303482
1950-10-28,-22.461334,6.3924103,-2.5003052,14.425995,18.128357
1950-10-29,-23.803055,-8.258789,-8.132782,21.891998,-10.624207
1950-10-30,-21.253174,-16.360031,-8.461426,-0.44088745,-4.984329
1950-10-31,-33.808807,-19.44246,0.86572266,15.135895,21.009018
1950-11-01,-43.482788,-21.006851,-2.421753,6.159668,-9.5569
1950-11-02,-42.515503,-11.18338,-0.1651001,16.427307,12.665894
1950-11-03,-28.921127,-11.310577,0.91641235,32.511703,15.258667
1950-11-04,-24.168182,-13.684555,-3.0693054,29.369537,-18.709656
1950-11-05,-13.33197,5.1802826,-9.93866,-0.02709961,-11.522461
1950-11-06,20.617264,-13.950531,-8.770966,-2.4154358,-9.015274
1950-11-07,61.064346,3.652588,11.649536,-6.284729,-7.7632294
1950-11-08,44.2787,-1.1547394,-7.47406,-0.35534668,-4.6181183
1950-11-09,64.69273,-1.014389,-2.233429,2.732605,-7.5959625
1950-11-10,37.060074,1.0091705,-8.095825,59.840866,-7.05925
1950-11-11,-15.036499,14.209381,-7.453583,82.43547,16.109375
1950-11-12,-19.480103,11.553497,-9.950073,75.26329,1.7149506
1950-11-13,-26.08876,0.5517273,3.3135986,34.256866,13.094147
1950-11-14,-18.472809,10.623917,-2.6746216,9.314606,-1.7716217
1950-11-15,13.344833,17.555542,-4.867096,34.579132,5.4537506
1950-11-16,26.287384,16.657196,-10.628418,24.008636,-14.083221
1950-11-17,74.495865,16.576416,-6.4801636,7.094116,-7.256302
1950-11-18,58.047836,18.671005,-8.660919,8.628387,0.51898193
1950-11-19,44.911774,16.585648,-4.6620483,10.336334,3.4240875
1950-11-20,-7.821045,12.469391,-2.5935364,0.61901855,44.445892
1950-11-21,-9.2234955,10.285751,19.855392,-1.6276245,22.268555
1950-11-22,-15.991684,17.782059,-0.54104614,-1.3482361,7.087082
1950-11-23,-15.776627,-16.451675,-7.118469,-2.4422607,-9.496658
1950-11-24,-15.990585,-26.236465,-3.8659668,-3.7115479,8.593231
1950-11-25,-5.0427704,-8.967453,-8.380035,-0.4382019,-10.985214
1950-11-26,-11.424377,-1.7169495,-5.606842,5.3053284,9.886978
1950-11-27,2.3184204,5.063507,-8.701447,6.995331,-25.431366
1950-11-28,-19.739426,-8.747925,-8.63623,7.434143,-3.8686981
1950-11-29,-21.678024,7.552231,-18.465088,56.603653,-11.879684
1950-11-30,-9.421082,3.573471,-18.827423,57.713104,18.513947
1950-12-01,-4.503113,4.9682007,18.181427,27.972778,8.998245
1950-12-02,-10.223633,12.1167145,-18.949799,13.3750305,11.59285
1950-12-03,-16.36142,-7.092209,-5.9119873,6.495453,18.361084
1950-12-04,-18.71289,-0.38298035,-7.844925,7.1247253,20.918533
1950-12-05,-19.989594,2.8477936,3.6059723,0.86654663,12.70137
1950-12-06,-11.315308,-16.614456,-4.826172,-0.6121216,3.5165558
1950-12-07,-6.259186,-12.834564,-7.3150024,-0.039367676,9.153366
1950-12-08,17.35286,-5.5283356,9.38176,-9.219971,0.33970642
1950-12-09,14.715347,-7.384552,31.473648,-12.030121,2.8735046
1950-12-10,-4.5380554,-16.146606,7.7332916,-8.165222,-2.4508362
1950-12-11,0.8809509,-17.11258,12.736435,-9.224243,30.447388
1950-12-12,-7.9353943,-8.805252,33.916077,-12.545227,33.00894
1950-12-13,-2.8859253,-28.381195,-4.361664,-11.974426,16.328476
1950-12-14,-10.112305,-17.307175,-16.616364,-15.085754,-4.8310394
1950-12-15,-12.281189,6.964447,-21.75772,-15.992249,24.057755
1950-12-16,-18.700409,-18.03769,-17.12529,-10.491119,23.812576
1950-12-17,-12.524017,-8.744141,-5.0927734,-6.0216675,7.209442
1950-12-18,-9.224335,-1.5779572,32.9749,-6.8771973,2.2796173
1950-12-19,-8.692291,-4.398529,-5.545532,-7.272522,-6.069153
1950-12-20,-15.190186,-6.2156677,-5.8295135,-6.9837036,10.201324
1950-12-21,-9.846619,3.7867432,18.742462,-7.135071,-6.4102325
1950-12-22,-16.062164,2.9021606,-7.6750183,4.919342,-20.373734
