,tpEurope_cluster1,tpEurope_cluster2,tpEurope_cluster3,tpEurope_cluster4,tpEurope_cluster5
1950-11-01,3.7130514e-05,-7.296383e-05,-1.7168455e-05,-1.4863758e-06,-0.00012959739
1950-11-02,-3.0781233e-05,-8.137031e-05,-3.8367827e-05,-1.44358e-06,-0.000121951205
1950-11-03,-8.134906e-05,-7.902688e-05,7.294424e-06,-1.5098575e-06,-0.0001320568
1950-11-04,-8.548134e-05,-7.77792e-05,-4.7939495e-05,-1.559892e-06,-0.00013149525
1950-11-05,-4.113293e-05,-7.853721e-05,-3.5110996e-05,-1.6522574e-06,-0.00013264586
1950-11-06,0.0002257431,-2.2516495e-05,-6.230116e-05,-1.6551019e-06,-0.00013305144
1950-11-07,0.00012795454,-5.751828e-05,-5.735288e-05,-1.6199905e-06,-8.4922314e-05
1950-11-08,0.0001224259,-7.547069e-05,-7.6386525e-05,-1.5764015e-06,0.0002837795
1950-11-09,-3.4098495e-05,7.2455856e-05,-7.7685734e-05,-1.6276356e-06,-1.9540348e-05
1950-11-10,-8.130026e-05,0.00038159319,-7.802137e-05,-1.6326985e-06,5.33814e-05
1950-11-11,0.00044878587,0.00039205005,-8.005302e-05,3.9935135e-06,-0.00012724256
1950-11-12,-8.25698e-05,-7.2488016e-05,0.00019220397,2.0615058e-05,-2.7834714e-05
1950-11-13,0.0001287939,-7.0677335e-05,9.9986355e-06,-1.6970087e-06,-5.2535666e-05
1950-11-14,-7.572678e-05,-6.988814e-05,-5.2053863e-05,-1.9426489e-06,6.527669e-05
1950-11-15,-8.9295354e-05,-6.661818e-05,-8.420871e-05,2.783479e-06,-4.2617125e-05
1950-11-16,-7.60456e-05,-7.279645e-05,-6.391518e-05,-1.9510169e-06,-4.9364447e-05
1950-11-17,-7.466204e-05,-7.077845e-05,-4.597163e-05,-1.5375633e-06,4.6376954e-06
1950-11-18,5.023343e-05,-7.193048e-05,-8.469742e-05,-1.519182e-06,-5.23945e-05
1950-11-19,-8.9019704e-05,2.1875137e-05,-8.757874e-05,-1.5588843e-06,-6.896568e-05
1950-11-20,-8.727262e-05,-5.248004e-05,0.00027758212,-5.4764854e-07,0.00022728031
1950-11-21,0.00053584337,0.00017625895,-8.809034e-05,-1.7651635e-06,2.4321489e-05
1950-11-22,0.00013516049,-2.8981343e-05,8.142566e-05,-1.7174758e-06,-5.4661905e-05
1950-11-23,0.00025821116,-6.777963e-05,-7.382988e-05,-1.1083551e-06,-0.00011440669
1950-11-24,-3.9565744e-05,-6.871826e-05,-8.975097e-05,-1.128045e-06,-8.443721e-05
1950-11-25,-5.4701053e-05,-6.8098954e-05,-9.125359e-05,-1.0504766e-06,-0.000121571655
1950-11-26,-8.18425e-05,0.00012611548,-9.2638336e-05,4.6412924e-06,-0.00010427324
1950-11-27,-7.3014344e-05,-5.674071e-05,-8.17046e-05,-1.488028e-06,-4.2710024e-05
1950-11-28,7.415036e-05,-5.67815e-05,-9.1713795e-05,-1.4860105e-06,0.000106896376
1950-11-29,0.00017100193,-5.818687e-05,3.9424245e-05,-1.5432985e-06,6.840791e-05
1950-11-30,-6.6833716e-05,-6.103788e-05,8.49551e-06,-1.5888484e-06,0.00023067558
1950-12-01,0.00015697458,-6.1286024e-05,-9.14246e-05,-1.6852032e-06,9.753852e-05
1950-12-02,3.4763616e-05,-5.9767284e-05,-9.0261026e-05,-3.587264e-06,0.00010517238
1950-12-03,0.00014825087,0.00038745973,-8.8923785e-05,-3.5973837e-06,0.00026383222
1950-12-04,-9.537354e-06,-3.228928e-06,-2.7852584e-05,-2.0840025e-06,7.008674e-05
